exon	count
ENSG00000000003:001	643
ENSG00000000003:002	157
ENSG00000000003:003	133
ENSG00000000003:004	98
ENSG00000000003:005	113
ENSG00000000003:006	155
ENSG00000000003:007	137
ENSG00000000003:008	125
ENSG00000000003:009	165
ENSG00000000003:010	15
ENSG00000000003:011	89
ENSG00000000003:012	57
ENSG00000000003:013	10
ENSG00000000003:014	0
ENSG00000000003:015	0
ENSG00000000005:001	0
ENSG00000000005:002	0
ENSG00000000005:003	0
ENSG00000000005:004	0
ENSG00000000005:005	0
ENSG00000000005:006	0
ENSG00000000005:007	0
ENSG00000000005:008	0
ENSG00000000005:009	0
ENSG00000000419:001	31
ENSG00000000419:002	88
ENSG00000000419:003	98
ENSG00000000419:004	427
ENSG00000000419:005	338
ENSG00000000419:006	295
ENSG00000000419:007	5
ENSG00000000419:008	16
ENSG00000000419:009	49
ENSG00000000419:010	300
ENSG00000000419:011	223
ENSG00000000419:012	204
ENSG00000000419:013	253
ENSG00000000419:014	206
ENSG00000000419:015	279
ENSG00000000419:016	207
ENSG00000000419:017	36
ENSG00000000419:018	26
ENSG00000000419:019	1
ENSG00000000457:001	0
ENSG00000000457:002	0
ENSG00000000457:003	2
ENSG00000000457:004	1
ENSG00000000457:005	0
ENSG00000000457:006	1
ENSG00000000457:007	1
ENSG00000000457:008	4
ENSG00000000457:009	5
ENSG00000000457:010	1
ENSG00000000457:011	0
ENSG00000000457:012	0
ENSG00000000457:013	2
ENSG00000000457:014	2
ENSG00000000457:015	2
ENSG00000000457:016	1
ENSG00000000457:017	2
ENSG00000000457:018	1
ENSG00000000457:019	1
ENSG00000000457:020	0
ENSG00000000457:021	0
ENSG00000000460:001	3
ENSG00000000460:002	2
ENSG00000000460:003	3
ENSG00000000460:004	4
ENSG00000000460:005	2
ENSG00000000460:006	0
ENSG00000000460:007	0
ENSG00000000460:008	1
ENSG00000000460:009	2
ENSG00000000460:010	3
ENSG00000000460:011	8
ENSG00000000460:012	0
ENSG00000000460:013	7
ENSG00000000460:014	11
ENSG00000000460:015	22
ENSG00000000460:016	15
ENSG00000000460:017	19
ENSG00000000460:018	22
ENSG00000000460:019	4
ENSG00000000460:020	13
ENSG00000000460:021	1
ENSG00000000460:022	0
ENSG00000000460:023	6
ENSG00000000460:024	3
ENSG00000000460:025	6
ENSG00000000460:026	4
ENSG00000000460:027	2
ENSG00000000460:028	3
ENSG00000000460:029	0
ENSG00000000460:030	4
ENSG00000000460:031	5
ENSG00000000460:032	9
ENSG00000000460:033	0
ENSG00000000460:034	8
ENSG00000000460:035	7
ENSG00000000460:036	9
ENSG00000000460:037	18
ENSG00000000460:038	12
ENSG00000000460:039	9
ENSG00000000460:040	8
ENSG00000000460:041	9
ENSG00000000460:042	4
ENSG00000000460:043	3
ENSG00000000460:044	0
ENSG00000000460:045	2
ENSG00000000460:046	0
ENSG00000000460:047	1
