Y	exon2	exon3	exon4	exon5	exon6	exon7	exon8	exon9	sample2	sample3	sample4	sample5	sample6	exon2:cond1	exon3:cond1	exon4:cond1	exon5:cond1	exon6:cond1	exon7:cond1	exon8:cond1	exon9:cond1
3.08422834556536	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2.67741885445008	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.98271094774558	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2.96453670540532	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2.99224071110691	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3.43420128343627	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2.9318951537226	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2.59364336231408	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.326524733538623	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
3.05706829666103	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
2.68141590773431	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
2.02815989634162	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
3.00306891537879	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
3.02924097173196	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
3.38724098964645	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
2.95153861473871	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
2.58178199476073	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
-0.639137537176839	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
2.8673181624783	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
