exon	count
ENSG00000000003:001	576
ENSG00000000003:002	141
ENSG00000000003:003	123
ENSG00000000003:004	86
ENSG00000000003:005	97
ENSG00000000003:006	133
ENSG00000000003:007	117
ENSG00000000003:008	106
ENSG00000000003:009	137
ENSG00000000003:010	4
ENSG00000000003:011	74
ENSG00000000003:012	51
ENSG00000000003:013	8
ENSG00000000003:014	0
ENSG00000000003:015	0
ENSG00000000005:001	0
ENSG00000000005:002	0
ENSG00000000005:003	0
ENSG00000000005:004	0
ENSG00000000005:005	0
ENSG00000000005:006	0
ENSG00000000005:007	0
ENSG00000000005:008	0
ENSG00000000005:009	0
ENSG00000000419:001	29
ENSG00000000419:002	82
ENSG00000000419:003	89
ENSG00000000419:004	387
ENSG00000000419:005	313
ENSG00000000419:006	268
ENSG00000000419:007	7
ENSG00000000419:008	17
ENSG00000000419:009	80
ENSG00000000419:010	266
ENSG00000000419:011	197
ENSG00000000419:012	171
ENSG00000000419:013	221
ENSG00000000419:014	192
ENSG00000000419:015	261
ENSG00000000419:016	197
ENSG00000000419:017	38
ENSG00000000419:018	29
ENSG00000000419:019	2
ENSG00000000457:001	0
ENSG00000000457:002	0
ENSG00000000457:003	7
ENSG00000000457:004	26
ENSG00000000457:005	0
ENSG00000000457:006	14
ENSG00000000457:007	14
ENSG00000000457:008	21
ENSG00000000457:009	14
ENSG00000000457:010	10
ENSG00000000457:011	13
ENSG00000000457:012	1
ENSG00000000457:013	18
ENSG00000000457:014	12
ENSG00000000457:015	14
ENSG00000000457:016	20
ENSG00000000457:017	17
ENSG00000000457:018	6
ENSG00000000457:019	6
ENSG00000000457:020	1
ENSG00000000457:021	0
ENSG00000000460:001	0
ENSG00000000460:002	0
ENSG00000000460:003	0
ENSG00000000460:004	0
ENSG00000000460:005	1
ENSG00000000460:006	0
ENSG00000000460:007	0
ENSG00000000460:008	1
ENSG00000000460:009	2
ENSG00000000460:010	6
ENSG00000000460:011	12
ENSG00000000460:012	0
ENSG00000000460:013	8
ENSG00000000460:014	10
ENSG00000000460:015	25
ENSG00000000460:016	16
ENSG00000000460:017	29
ENSG00000000460:018	32
ENSG00000000460:019	3
ENSG00000000460:020	29
ENSG00000000460:021	3
ENSG00000000460:022	0
ENSG00000000460:023	20
ENSG00000000460:024	11
ENSG00000000460:025	14
ENSG00000000460:026	11
ENSG00000000460:027	8
ENSG00000000460:028	9
ENSG00000000460:029	0
ENSG00000000460:030	16
ENSG00000000460:031	19
ENSG00000000460:032	29
ENSG00000000460:033	0
ENSG00000000460:034	21
ENSG00000000460:035	15
ENSG00000000460:036	21
ENSG00000000460:037	37
ENSG00000000460:038	27
ENSG00000000460:039	20
ENSG00000000460:040	21
ENSG00000000460:041	18
ENSG00000000460:042	13
ENSG00000000460:043	8
ENSG00000000460:044	1
ENSG00000000460:045	9
ENSG00000000460:046	0
ENSG00000000460:047	7
ENSG00000000938:001	0
ENSG00000000938:002	0
ENSG00000000938:003	0
ENSG00000000938:004	0
ENSG00000000938:005	0
ENSG00000000938:006	0
ENSG00000000938:007	0
ENSG00000000938:008	0
ENSG00000000938:009	0
ENSG00000000938:010	0
ENSG00000000938:011	0
ENSG00000000938:012	0
ENSG00000000938:013	0
ENSG00000000938:014	0
ENSG00000000938:015	0
ENSG00000000938:016	0
ENSG00000000938:017	0
ENSG00000000938:018	0
ENSG00000000938:019	0
ENSG00000000938:020	0
ENSG00000000938:021	0
ENSG00000000938:022	0
ENSG00000000938:023	0
ENSG00000000938:024	0
ENSG00000000938:025	0
ENSG00000000938:026	0
ENSG00000000971:001	49
ENSG00000000971:002	81
ENSG00000000971:003	115
ENSG00000000971:004	0
ENSG00000000971:005	86
ENSG00000000971:006	80
ENSG00000000971:007	2
ENSG00000000971:008	130
ENSG00000000971:009	11
ENSG00000000971:010	123
ENSG00000000971:011	112
ENSG00000000971:012	113
ENSG00000000971:013	97
ENSG00000000971:014	12
ENSG00000000971:015	0
ENSG00000000971:016	76
ENSG00000000971:017	80
ENSG00000000971:018	98
ENSG00000000971:019	107
ENSG00000000971:020	85
ENSG00000000971:021	82
ENSG00000000971:022	68
ENSG00000000971:023	72
ENSG00000000971:024	101
ENSG00000000971:025	100
ENSG00000000971:026	3
ENSG00000000971:027	8
ENSG00000000971:028	92
ENSG00000000971:029	80
ENSG00000000971:030	62
ENSG00000000971:031	82
ENSG00000001036:001	728
ENSG00000001036:002	0
ENSG00000001036:003	2
ENSG00000001036:004	549
ENSG00000001036:005	339
ENSG00000001036:006	670
ENSG00000001036:007	683
ENSG00000001036:008	928
ENSG00000001036:009	655
ENSG00000001036:010	518
ENSG00000001036:011	68
ENSG00000001084:001	218
ENSG00000001084:002	191
ENSG00000001084:003	97
ENSG00000001084:004	90
ENSG00000001084:005	0
ENSG00000001084:006	1
ENSG00000001084:007	86
ENSG00000001084:008	0
ENSG00000001084:009	81
ENSG00000001084:010	0
ENSG00000001084:011	0
ENSG00000001084:012	85
ENSG00000001084:013	1
ENSG00000001084:014	83
ENSG00000001084:015	53
ENSG00000001084:016	82
ENSG00000001084:017	3
ENSG00000001084:018	74
ENSG00000001084:019	45
ENSG00000001084:020	74
ENSG00000001084:021	70
ENSG00000001084:022	5
ENSG00000001084:023	0
ENSG00000001084:024	51
ENSG00000001084:025	71
ENSG00000001084:026	58
ENSG00000001084:027	39
ENSG00000001084:028	76
ENSG00000001084:029	0
ENSG00000001084:030	106
ENSG00000001084:031	67
ENSG00000001084:032	143
ENSG00000001084:033	73
ENSG00000001084:034	71
ENSG00000001084:035	0
ENSG00000001084:036	10
ENSG00000001084:037	63
ENSG00000001084:038	118
ENSG00000001084:039	26
ENSG00000001084:040	8
ENSG00000001084:041	0
ENSG00000001084:042	0
ENSG00000001084:043	0
ENSG00000001167:001	3
ENSG00000001167:002	32
ENSG00000001167:003	73
ENSG00000001167:004	85
ENSG00000001167:005	100
ENSG00000001167:006	90
ENSG00000001167:007	86
