exon	count
ENSG00000000003:001	506
ENSG00000000003:002	122
ENSG00000000003:003	102
ENSG00000000003:004	76
ENSG00000000003:005	83
ENSG00000000003:006	107
ENSG00000000003:007	96
ENSG00000000003:008	87
ENSG00000000003:009	122
ENSG00000000003:010	3
ENSG00000000003:011	70
ENSG00000000003:012	47
ENSG00000000003:013	7
ENSG00000000003:014	0
ENSG00000000003:015	0
ENSG00000000005:001	0
ENSG00000000005:002	0
ENSG00000000005:003	0
ENSG00000000005:004	0
ENSG00000000005:005	0
ENSG00000000005:006	0
ENSG00000000005:007	0
ENSG00000000005:008	0
ENSG00000000005:009	0
ENSG00000000419:001	20
ENSG00000000419:002	44
ENSG00000000419:003	49
ENSG00000000419:004	220
ENSG00000000419:005	178
ENSG00000000419:006	149
ENSG00000000419:007	3
ENSG00000000419:008	10
ENSG00000000419:009	44
ENSG00000000419:010	166
ENSG00000000419:011	111
ENSG00000000419:012	103
ENSG00000000419:013	138
ENSG00000000419:014	116
ENSG00000000419:015	145
ENSG00000000419:016	98
ENSG00000000419:017	15
ENSG00000000419:018	13
ENSG00000000419:019	0
ENSG00000000457:001	0
ENSG00000000457:002	0
ENSG00000000457:003	17
ENSG00000000457:004	37
ENSG00000000457:005	0
ENSG00000000457:006	10
ENSG00000000457:007	16
ENSG00000000457:008	20
ENSG00000000457:009	16
ENSG00000000457:010	11
ENSG00000000457:011	16
ENSG00000000457:012	0
ENSG00000000457:013	14
ENSG00000000457:014	13
ENSG00000000457:015	18
ENSG00000000457:016	24
ENSG00000000457:017	20
ENSG00000000457:018	8
ENSG00000000457:019	10
ENSG00000000457:020	1
ENSG00000000457:021	0
ENSG00000000460:001	4
ENSG00000000460:002	2
ENSG00000000460:003	3
ENSG00000000460:004	5
ENSG00000000460:005	3
ENSG00000000460:006	0
ENSG00000000460:007	0
ENSG00000000460:008	0
ENSG00000000460:009	3
ENSG00000000460:010	7
ENSG00000000460:011	10
ENSG00000000460:012	0
ENSG00000000460:013	9
ENSG00000000460:014	12
ENSG00000000460:015	17
ENSG00000000460:016	16
ENSG00000000460:017	28
ENSG00000000460:018	29
ENSG00000000460:019	5
ENSG00000000460:020	25
ENSG00000000460:021	4
ENSG00000000460:022	0
ENSG00000000460:023	12
ENSG00000000460:024	12
ENSG00000000460:025	12
ENSG00000000460:026	12
ENSG00000000460:027	12
ENSG00000000460:028	12
ENSG00000000460:029	0
ENSG00000000460:030	13
ENSG00000000460:031	14
ENSG00000000460:032	14
ENSG00000000460:033	0
ENSG00000000460:034	12
ENSG00000000460:035	10
ENSG00000000460:036	12
ENSG00000000460:037	16
ENSG00000000460:038	12
ENSG00000000460:039	18
ENSG00000000460:040	18
ENSG00000000460:041	14
ENSG00000000460:042	8
ENSG00000000460:043	4
ENSG00000000460:044	0
ENSG00000000460:045	4
ENSG00000000460:046	0
ENSG00000000460:047	9
ENSG00000000938:001	0
ENSG00000000938:002	0
ENSG00000000938:003	0
ENSG00000000938:004	0
ENSG00000000938:005	0
ENSG00000000938:006	0
ENSG00000000938:007	0
ENSG00000000938:008	0
ENSG00000000938:009	0
ENSG00000000938:010	0
ENSG00000000938:011	0
ENSG00000000938:012	0
ENSG00000000938:013	0
ENSG00000000938:014	0
ENSG00000000938:015	0
ENSG00000000938:016	0
ENSG00000000938:017	0
ENSG00000000938:018	0
ENSG00000000938:019	0
ENSG00000000938:020	0
ENSG00000000938:021	0
ENSG00000000938:022	0
ENSG00000000938:023	0
ENSG00000000938:024	0
ENSG00000000938:025	0
ENSG00000000938:026	0
ENSG00000000971:001	37
ENSG00000000971:002	52
ENSG00000000971:003	73
ENSG00000000971:004	0
ENSG00000000971:005	56
ENSG00000000971:006	58
ENSG00000000971:007	0
ENSG00000000971:008	75
ENSG00000000971:009	9
ENSG00000000971:010	69
ENSG00000000971:011	72
ENSG00000000971:012	83
ENSG00000000971:013	76
ENSG00000000971:014	16
ENSG00000000971:015	0
ENSG00000000971:016	65
ENSG00000000971:017	64
ENSG00000000971:018	66
ENSG00000000971:019	63
ENSG00000000971:020	56
ENSG00000000971:021	61
ENSG00000000971:022	35
ENSG00000000971:023	34
ENSG00000000971:024	44
ENSG00000000971:025	49
ENSG00000000971:026	0
ENSG00000000971:027	4
ENSG00000000971:028	58
ENSG00000000971:029	53
ENSG00000000971:030	39
ENSG00000000971:031	45
ENSG00000001036:001	680
ENSG00000001036:002	0
ENSG00000001036:003	12
ENSG00000001036:004	524
ENSG00000001036:005	333
ENSG00000001036:006	655
ENSG00000001036:007	667
ENSG00000001036:008	855
ENSG00000001036:009	632
ENSG00000001036:010	489
ENSG00000001036:011	52
ENSG00000001084:001	329
ENSG00000001084:002	301
ENSG00000001084:003	140
ENSG00000001084:004	122
ENSG00000001084:005	0
ENSG00000001084:006	4
ENSG00000001084:007	122
ENSG00000001084:008	0
ENSG00000001084:009	119
ENSG00000001084:010	0
ENSG00000001084:011	0
ENSG00000001084:012	123
ENSG00000001084:013	3
ENSG00000001084:014	115
ENSG00000001084:015	69
ENSG00000001084:016	105
ENSG00000001084:017	2
ENSG00000001084:018	114
ENSG00000001084:019	78
ENSG00000001084:020	127
ENSG00000001084:021	110
ENSG00000001084:022	11
ENSG00000001084:023	0
ENSG00000001084:024	72
ENSG00000001084:025	102
ENSG00000001084:026	79
ENSG00000001084:027	60
ENSG00000001084:028	92
ENSG00000001084:029	0
ENSG00000001084:030	121
ENSG00000001084:031	72
ENSG00000001084:032	198
ENSG00000001084:033	119
ENSG00000001084:034	109
ENSG00000001084:035	0
ENSG00000001084:036	11
ENSG00000001084:037	99
ENSG00000001084:038	200
ENSG00000001084:039	47
ENSG00000001084:040	21
ENSG00000001084:041	1
ENSG00000001084:042	0
ENSG00000001084:043	0
ENSG00000001167:001	10
ENSG00000001167:002	64
ENSG00000001167:003	140
ENSG00000001167:004	144
ENSG00000001167:005	174
ENSG00000001167:006	153
ENSG00000001167:007	134
ENSG00000001167:008	159
ENSG00000001167:009	191
ENSG00000001167:010	167
ENSG00000001167:011	284
ENSG00000001167:012	1058
ENSG00000001460:001	0
ENSG00000001460:002	0
ENSG00000001460:003	0
ENSG00000001460:004	299
ENSG00000001460:005	67
ENSG00000001460:006	2
ENSG00000001460:007	3
ENSG00000001460:008	0
ENSG00000001460:009	55
ENSG00000001460:010	50
ENSG00000001460:011	1
ENSG00000001460:012	65
ENSG00000001460:013	0
ENSG00000001460:014	41
ENSG00000001460:015	1
ENSG00000001460:016	7
ENSG00000001460:017	30
ENSG00000001460:018	57
ENSG00000001460:019	8
ENSG00000001460:020	0
ENSG00000001460:021	8
ENSG00000001460:022	41
ENSG00000001460:023	53
ENSG00000001460:024	0
ENSG00000001460:025	1
ENSG00000001460:026	0
ENSG00000001460:027	0
ENSG00000001460:028	20
ENSG00000001460:029	11
ENSG00000001460:030	27
ENSG00000001460:031	3
ENSG00000001460:032	1
ENSG00000001460:033	20
ENSG00000001460:034	9
ENSG00000001460:035	5
ENSG00000001460:036	6
ENSG00000001460:037	10
ENSG00000001461:001	0
ENSG00000001461:002	0
ENSG00000001461:003	0
ENSG00000001461:004	0
ENSG00000001461:005	0
ENSG00000001461:006	0
ENSG00000001461:007	203
ENSG00000001461:008	202
ENSG00000001461:009	0
ENSG00000001461:010	0
ENSG00000001461:011	141
ENSG00000001461:012	197
ENSG00000001461:013	293
ENSG00000001461:014	190
ENSG00000001461:015	271
