exon	count
ENSG00000000003:001	482
ENSG00000000003:002	121
ENSG00000000003:003	99
ENSG00000000003:004	72
ENSG00000000003:005	76
ENSG00000000003:006	97
ENSG00000000003:007	90
ENSG00000000003:008	83
ENSG00000000003:009	117
ENSG00000000003:010	4
ENSG00000000003:011	65
ENSG00000000003:012	43
ENSG00000000003:013	7
ENSG00000000003:014	0
ENSG00000000003:015	0
ENSG00000000005:001	0
ENSG00000000005:002	0
ENSG00000000005:003	0
ENSG00000000005:004	0
ENSG00000000005:005	0
ENSG00000000005:006	0
ENSG00000000005:007	0
ENSG00000000005:008	0
ENSG00000000005:009	0
ENSG00000000419:001	54
ENSG00000000419:002	139
ENSG00000000419:003	153
ENSG00000000419:004	678
ENSG00000000419:005	544
ENSG00000000419:006	470
ENSG00000000419:007	15
ENSG00000000419:008	27
ENSG00000000419:009	103
ENSG00000000419:010	502
ENSG00000000419:011	373
ENSG00000000419:012	339
ENSG00000000419:013	432
ENSG00000000419:014	359
ENSG00000000419:015	470
ENSG00000000419:016	332
ENSG00000000419:017	54
ENSG00000000419:018	39
ENSG00000000419:019	1
ENSG00000000457:001	0
ENSG00000000457:002	0
ENSG00000000457:003	10
ENSG00000000457:004	28
ENSG00000000457:005	2
ENSG00000000457:006	5
ENSG00000000457:007	6
ENSG00000000457:008	10
ENSG00000000457:009	8
ENSG00000000457:010	7
ENSG00000000457:011	11
ENSG00000000457:012	0
ENSG00000000457:013	13
ENSG00000000457:014	9
ENSG00000000457:015	11
ENSG00000000457:016	23
ENSG00000000457:017	26
ENSG00000000457:018	14
ENSG00000000457:019	13
ENSG00000000457:020	0
ENSG00000000457:021	1
ENSG00000000460:001	7
ENSG00000000460:002	6
ENSG00000000460:003	4
ENSG00000000460:004	3
ENSG00000000460:005	1
ENSG00000000460:006	0
ENSG00000000460:007	0
ENSG00000000460:008	0
ENSG00000000460:009	5
ENSG00000000460:010	10
ENSG00000000460:011	18
ENSG00000000460:012	0
ENSG00000000460:013	13
ENSG00000000460:014	16
ENSG00000000460:015	37
ENSG00000000460:016	46
ENSG00000000460:017	66
ENSG00000000460:018	82
ENSG00000000460:019	23
ENSG00000000460:020	73
ENSG00000000460:021	9
ENSG00000000460:022	0
ENSG00000000460:023	33
ENSG00000000460:024	28
ENSG00000000460:025	34
ENSG00000000460:026	27
ENSG00000000460:027	26
ENSG00000000460:028	31
ENSG00000000460:029	0
ENSG00000000460:030	38
ENSG00000000460:031	30
ENSG00000000460:032	43
ENSG00000000460:033	0
ENSG00000000460:034	35
ENSG00000000460:035	30
ENSG00000000460:036	35
ENSG00000000460:037	44
ENSG00000000460:038	39
ENSG00000000460:039	35
ENSG00000000460:040	44
ENSG00000000460:041	36
ENSG00000000460:042	30
ENSG00000000460:043	15
ENSG00000000460:044	5
ENSG00000000460:045	16
ENSG00000000460:046	0
ENSG00000000460:047	12
ENSG00000000938:001	0
ENSG00000000938:002	0
ENSG00000000938:003	0
ENSG00000000938:004	0
ENSG00000000938:005	0
ENSG00000000938:006	0
ENSG00000000938:007	0
ENSG00000000938:008	0
ENSG00000000938:009	0
ENSG00000000938:010	0
ENSG00000000938:011	0
ENSG00000000938:012	0
ENSG00000000938:013	0
ENSG00000000938:014	0
ENSG00000000938:015	0
ENSG00000000938:016	0
ENSG00000000938:017	0
ENSG00000000938:018	0
ENSG00000000938:019	0
ENSG00000000938:020	0
ENSG00000000938:021	0
ENSG00000000938:022	0
ENSG00000000938:023	0
ENSG00000000938:024	0
ENSG00000000938:025	0
ENSG00000000938:026	0
ENSG00000000971:001	17
ENSG00000000971:002	31
ENSG00000000971:003	40
ENSG00000000971:004	0
ENSG00000000971:005	29
ENSG00000000971:006	22
ENSG00000000971:007	3
ENSG00000000971:008	38
ENSG00000000971:009	9
ENSG00000000971:010	35
ENSG00000000971:011	34
ENSG00000000971:012	41
ENSG00000000971:013	43
ENSG00000000971:014	7
ENSG00000000971:015	0
ENSG00000000971:016	26
ENSG00000000971:017	19
ENSG00000000971:018	31
ENSG00000000971:019	40
ENSG00000000971:020	37
ENSG00000000971:021	31
ENSG00000000971:022	19
ENSG00000000971:023	17
ENSG00000000971:024	19
ENSG00000000971:025	27
ENSG00000000971:026	1
ENSG00000000971:027	3
ENSG00000000971:028	37
ENSG00000000971:029	36
ENSG00000000971:030	25
ENSG00000000971:031	27
ENSG00000001036:001	623
ENSG00000001036:002	0
ENSG00000001036:003	0
ENSG00000001036:004	488
ENSG00000001036:005	305
ENSG00000001036:006	590
ENSG00000001036:007	581
ENSG00000001036:008	789
ENSG00000001036:009	554
ENSG00000001036:010	435
ENSG00000001036:011	56
ENSG00000001084:001	59
ENSG00000001084:002	52
ENSG00000001084:003	24
ENSG00000001084:004	16
ENSG00000001084:005	0
ENSG00000001084:006	1
ENSG00000001084:007	17
ENSG00000001084:008	0
ENSG00000001084:009	24
ENSG00000001084:010	0
ENSG00000001084:011	0
ENSG00000001084:012	30
ENSG00000001084:013	2
ENSG00000001084:014	26
ENSG00000001084:015	17
ENSG00000001084:016	28
ENSG00000001084:017	1
ENSG00000001084:018	20
ENSG00000001084:019	12
ENSG00000001084:020	17
ENSG00000001084:021	9
ENSG00000001084:022	12
ENSG00000001084:023	0
ENSG00000001084:024	5
ENSG00000001084:025	16
ENSG00000001084:026	14
ENSG00000001084:027	13
ENSG00000001084:028	23
ENSG00000001084:029	0
ENSG00000001084:030	46
ENSG00000001084:031	36
ENSG00000001084:032	75
ENSG00000001084:033	40
ENSG00000001084:034	31
ENSG00000001084:035	0
ENSG00000001084:036	8
ENSG00000001084:037	16
ENSG00000001084:038	37
ENSG00000001084:039	9
ENSG00000001084:040	5
ENSG00000001084:041	0
ENSG00000001084:042	0
ENSG00000001084:043	0
ENSG00000001167:001	4
ENSG00000001167:002	18
ENSG00000001167:003	33
ENSG00000001167:004	36
ENSG00000001167:005	48
ENSG00000001167:006	48
ENSG00000001167:007	40
ENSG00000001167:008	56
ENSG00000001167:009	50
ENSG00000001167:010	41
ENSG00000001167:011	74
ENSG00000001167:012	247
ENSG00000001460:001	0
ENSG00000001460:002	0
ENSG00000001460:003	1
ENSG00000001460:004	302
ENSG00000001460:005	69
ENSG00000001460:006	0
ENSG00000001460:007	0
ENSG00000001460:008	2
ENSG00000001460:009	69
ENSG00000001460:010	49
ENSG00000001460:011	5
ENSG00000001460:012	47
ENSG00000001460:013	0
ENSG00000001460:014	38
ENSG00000001460:015	0
ENSG00000001460:016	3
ENSG00000001460:017	25
ENSG00000001460:018	39
ENSG00000001460:019	9
ENSG00000001460:020	0
ENSG00000001460:021	15
ENSG00000001460:022	36
ENSG00000001460:023	48
ENSG00000001460:024	0
ENSG00000001460:025	4
ENSG00000001460:026	0
ENSG00000001460:027	0
ENSG00000001460:028	16
ENSG00000001460:029	1
ENSG00000001460:030	14
ENSG00000001460:031	9
ENSG00000001460:032	5
ENSG00000001460:033	14
ENSG00000001460:034	6
ENSG00000001460:035	10
ENSG00000001460:036	6
ENSG00000001460:037	7
ENSG00000001461:001	0
ENSG00000001461:002	0
ENSG00000001461:003	0
ENSG00000001461:004	0
ENSG00000001461:005	0
ENSG00000001461:006	0
ENSG00000001461:007	436
ENSG00000001461:008	442
ENSG00000001461:009	0
ENSG00000001461:010	0
ENSG00000001461:011	293
ENSG00000001461:012	414
ENSG00000001461:013	592
ENSG00000001461:014	440
ENSG00000001461:015	571
ENSG00000001461:016	488
ENSG00000001461:017	11
ENSG00000001461:018	25
ENSG00000001461:019	359
ENSG00000001461:020	520
ENSG00000001461:021	0
ENSG00000001461:022	458
ENSG00000001461:023	396
ENSG00000001461:024	455
ENSG00000001461:025	0
ENSG00000001461:026	40
ENSG00000001461:027	0
ENSG00000001461:028	683
ENSG00000001461:029	3903
ENSG00000001497:001	0
ENSG00000001497:002	59
ENSG00000001497:003	55
ENSG00000001497:004	100
ENSG00000001497:005	8
ENSG00000001497:006	6
ENSG00000001497:007	7
ENSG00000001497:008	32
ENSG00000001497:009	38
ENSG00000001497:010	75
ENSG00000001497:011	5
ENSG00000001497:012	59
ENSG00000001497:013	59
ENSG00000001497:014	45
ENSG00000001497:015	89
ENSG00000001497:016	48
ENSG00000001497:017	52
ENSG00000001497:018	60
ENSG00000001497:019	51
ENSG00000001497:020	0
ENSG00000001497:021	0
ENSG00000001561:001	1
ENSG00000001561:002	4
ENSG00000001561:003	0
ENSG00000001561:004	10
ENSG00000001617:001	2
ENSG00000001617:002	8
ENSG00000001617:003	17
ENSG00000001617:004	26
ENSG00000001617:005	91
ENSG00000001617:006	102
ENSG00000001617:007	0
ENSG00000001617:008	0
ENSG00000001617:009	49
ENSG00000001617:010	97
ENSG00000001617:011	93
ENSG00000001617:012	84
ENSG00000001617:013	156
ENSG00000001617:014	0
ENSG00000001617:015	123
ENSG00000001617:016	0
ENSG00000001617:017	158
ENSG00000001617:018	78
ENSG00000001617:019	149
ENSG00000001617:020	153
ENSG00000001617:021	0
ENSG00000001617:022	155
ENSG00000001617:023	99
ENSG00000001617:024	171
ENSG00000001617:025	136
ENSG00000001617:026	163
ENSG00000001617:027	62
ENSG00000001617:028	0
ENSG00000001617:029	0
ENSG00000001617:030	165
ENSG00000001617:031	77
ENSG00000001617:032	100
ENSG00000001617:033	94
ENSG00000001617:034	134
ENSG00000001617:035	103
ENSG00000001617:036	115
ENSG00000001617:037	502
ENSG00000001617:038	1
ENSG00000001617:039	1
ENSG00000001626:001	0
ENSG00000001626:002	0
ENSG00000001626:003	0
ENSG00000001626:004	0
ENSG00000001626:005	0
ENSG00000001626:006	0
ENSG00000001626:007	0
ENSG00000001626:008	0
ENSG00000001626:009	0
ENSG00000001626:010	0
ENSG00000001626:011	1
ENSG00000001626:012	1
ENSG00000001626:013	2
ENSG00000001626:014	2
ENSG00000001626:015	1
ENSG00000001626:016	0
ENSG00000001626:017	0
ENSG00000001626:018	0
ENSG00000001626:019	0
ENSG00000001626:020	0
ENSG00000001626:021	0
ENSG00000001626:022	0
ENSG00000001626:023	0
ENSG00000001626:024	1
ENSG00000001626:025	1
ENSG00000001626:026	0
ENSG00000001626:027	1
ENSG00000001626:028	0
ENSG00000001626:029	0
ENSG00000001626:030	0
ENSG00000001626:031	2
ENSG00000001626:032	2
ENSG00000001626:033	4
ENSG00000001626:034	0
ENSG00000001626:035	1
ENSG00000001626:036	0
ENSG00000001626:037	0
ENSG00000001626:038	0
ENSG00000001626:039	0
ENSG00000001626:040	0
ENSG00000001626:041	6
ENSG00000001626:042	0
ENSG00000001626:043	0
ENSG00000001626:044	0
ENSG00000001626:045	0
ENSG00000001629:001	141
ENSG00000001629:002	7
ENSG00000001629:003	256
ENSG00000001629:004	234
ENSG00000001629:005	141
ENSG00000001629:006	145
ENSG00000001629:007	127
ENSG00000001629:008	0
ENSG00000001629:009	0
ENSG00000001629:010	141
ENSG00000001629:011	112
ENSG00000001629:012	82
ENSG00000001629:013	130
ENSG00000001629:014	144
ENSG00000001629:015	8
ENSG00000001629:016	162
ENSG00000001629:017	166
ENSG00000001629:018	119
ENSG00000001629:019	78
ENSG00000001629:020	126
ENSG00000001629:021	103
ENSG00000001629:022	174
ENSG00000001629:023	150
ENSG00000001629:024	136
ENSG00000001629:025	201
ENSG00000001629:026	209
ENSG00000001629:027	103
ENSG00000001629:028	4
ENSG00000001629:029	162
ENSG00000001629:030	166
ENSG00000001629:031	107
ENSG00000001629:032	715
ENSG00000001629:033	987
ENSG00000001630:001	3
ENSG00000001630:002	3
ENSG00000001630:003	224
ENSG00000001630:004	14
ENSG00000001630:005	0
ENSG00000001631:001	9
ENSG00000001631:002	21
ENSG00000001631:003	16
ENSG00000001631:004	13
ENSG00000001631:005	24
ENSG00000001631:006	101
ENSG00000001631:007	66
ENSG00000001631:008	0
ENSG00000001631:009	79
ENSG00000001631:010	53
ENSG00000001631:011	58
ENSG00000001631:012	60
ENSG00000001631:013	67
ENSG00000001631:014	43
ENSG00000001631:015	56
ENSG00000001631:016	76
ENSG00000001631:017	63
ENSG00000001631:018	66
ENSG00000001631:019	51
ENSG00000001631:020	45
ENSG00000001631:021	34
ENSG00000001631:022	39
ENSG00000001631:023	5
ENSG00000001631:024	2
ENSG00000001631:025	1
ENSG00000001631:026	56
ENSG00000001631:027	35
ENSG00000001631:028	40
ENSG00000001631:029	44
ENSG00000001631:030	0
ENSG00000001631:031	54
ENSG00000001631:032	46
ENSG00000001631:033	51
ENSG00000001631:034	59
ENSG00000001631:035	51
ENSG00000001631:036	46
ENSG00000001631:037	52
ENSG00000001631:038	61
ENSG00000001631:039	66
ENSG00000001631:040	0
ENSG00000001631:041	38
ENSG00000001631:042	45
ENSG00000001631:043	79
ENSG00000001631:044	35
ENSG00000001631:045	33
ENSG00000001631:046	22
ENSG00000001631:047	29
ENSG00000001631:048	7
ENSG00000001631:049	8
ENSG00000001631:050	25
ENSG00000001631:051	25
ENSG00000001631:052	22
ENSG00000001631:053	26
ENSG00000001631:054	18
ENSG00000001631:055	12
ENSG00000001631:056	9
ENSG00000001631:057	9
ENSG00000001631:058	7
ENSG00000001631:059	4
ENSG00000001631:060	3
ENSG00000001631:061	3
ENSG00000001631:062	5
ENSG00000001631:063	6
ENSG00000001631:064	3
ENSG00000001631:065	3
ENSG00000002016:001	3
ENSG00000002016:002	20
ENSG00000002016:003	3
ENSG00000002016:004	5
ENSG00000002016:005	18
ENSG00000002016:006	41
ENSG00000002016:007	22
ENSG00000002016:008	22
ENSG00000002016:009	39
ENSG00000002016:010	0
ENSG00000002016:011	74
ENSG00000002016:012	10
ENSG00000002016:013	1
ENSG00000002016:014	25
ENSG00000002016:015	0
ENSG00000002016:016	29
ENSG00000002016:017	3
ENSG00000002016:018	1
ENSG00000002016:019	1
ENSG00000002016:020	0
ENSG00000002016:021	21
ENSG00000002016:022	33
ENSG00000002016:023	21
ENSG00000002016:024	31
ENSG00000002016:025	3
ENSG00000002016:026	4
ENSG00000002016:027	6
ENSG00000002016:028	32
ENSG00000002016:029	27
ENSG00000002016:030	2
ENSG00000002016:031	0
ENSG00000002016:032	29
ENSG00000002016:033	0
ENSG00000002016:034	0
ENSG00000002016:035	0
ENSG00000002016:036	1
ENSG00000002016:037	24
ENSG00000002016:038	23
ENSG00000002016:039	19
ENSG00000002016:040	13
ENSG00000002016:041	0
ENSG00000002016:042	0
ENSG00000002016:043	0
ENSG00000002016:044	13
ENSG00000002016:045	12
ENSG00000002016:046	10
ENSG00000002016:047	10
ENSG00000002016:048	7
ENSG00000002016:049	7
ENSG00000002016:050	7
ENSG00000002016:051	5
ENSG00000002016:052	5
ENSG00000002016:053	5
ENSG00000002016:054	5
ENSG00000002016:055	5
ENSG00000002016:056	10
ENSG00000002016:057	15
ENSG00000002016:058	4
ENSG00000002016:059	19
ENSG00000002016:060	26
ENSG00000002016:061	0
ENSG00000002016:062	0
ENSG00000002016:063	10
ENSG00000002016:064	3
ENSG00000002330:001	0
ENSG00000002330:002	65
ENSG00000002330:003	51
ENSG00000002330:004	0
ENSG00000002330:005	0
ENSG00000002330:006	0
ENSG00000002330:007	195
ENSG00000002330:008	0
ENSG00000002330:009	5
ENSG00000002330:010	31
ENSG00000002330:011	63
ENSG00000002330:012	209
ENSG00000002330:013	0
ENSG00000002330:014	1
ENSG00000002330:015	1
ENSG00000002330:016	0
ENSG00000002330:017	0
ENSG00000002330:018	0
ENSG00000002549:001	309
ENSG00000002549:002	239
ENSG00000002549:003	268
ENSG00000002549:004	307
ENSG00000002549:005	357
ENSG00000002549:006	285
ENSG00000002549:007	0
ENSG00000002549:008	331
ENSG00000002549:009	213
ENSG00000002549:010	0
ENSG00000002549:011	0
ENSG00000002549:012	0
ENSG00000002549:013	353
ENSG00000002549:014	239
ENSG00000002549:015	9
ENSG00000002549:016	324
ENSG00000002549:017	338
ENSG00000002549:018	4
ENSG00000002549:019	0
ENSG00000002549:020	0
ENSG00000002549:021	0
ENSG00000002549:022	456
ENSG00000002549:023	429
ENSG00000002549:024	394
ENSG00000002549:025	396
ENSG00000002549:026	344
ENSG00000002549:027	295
ENSG00000002549:028	290
ENSG00000002549:029	744
ENSG00000002549:030	0
ENSG00000002586:001	772
ENSG00000002586:002	801
ENSG00000002586:003	1048
ENSG00000002586:004	1427
ENSG00000002586:005	1773
ENSG00000002586:006	70
ENSG00000002586:007	0
ENSG00000002586:008	1633
ENSG00000002586:009	1
ENSG00000002586:010	1776
ENSG00000002586:011	0
ENSG00000002586:012	1783
ENSG00000002586:013	1982
ENSG00000002586:014	1840
ENSG00000002586:015	1864
ENSG00000002586:016	2118
ENSG00000002586:017	1575
ENSG00000002586:018	1453
ENSG00000002586:019	17
ENSG00000002586:020	28
ENSG00000002586:021	0
ENSG00000002586:022	1
ENSG00000002586:023	1906
ENSG00000002586:024	3999
ENSG00000002586:025	1398
ENSG00000002586:026	1456
ENSG00000002587:001	0
ENSG00000002587:002	0
ENSG00000002587:003	0
ENSG00000002587:004	0
ENSG00000002587:005	0
ENSG00000002587:006	0
ENSG00000002726:001	0
ENSG00000002726:002	0
ENSG00000002726:003	0
ENSG00000002726:004	0
ENSG00000002726:005	0
ENSG00000002726:006	0
ENSG00000002726:007	0
ENSG00000002726:008	0
ENSG00000002726:009	0
ENSG00000002726:010	0
ENSG00000002726:011	0
ENSG00000002726:012	0
ENSG00000002726:013	0
ENSG00000002726:014	0
ENSG00000002726:015	0
ENSG00000002726:016	0
ENSG00000002726:017	0
ENSG00000002726:018	0
ENSG00000002726:019	0
ENSG00000002726:020	0
ENSG00000002745:001	4
ENSG00000002745:002	29
ENSG00000002745:003	37
ENSG00000002745:004	47
ENSG00000002745:005	76
ENSG00000002745:006	84
ENSG00000002746:001	0
ENSG00000002746:002	0
ENSG00000002746:003	3
ENSG00000002746:004	0
ENSG00000002746:005	1
ENSG00000002746:006	3
ENSG00000002746:007	0
ENSG00000002746:008	0
ENSG00000002746:009	0
ENSG00000002746:010	0
ENSG00000002746:011	0
ENSG00000002746:012	0
ENSG00000002746:013	4
ENSG00000002746:014	2
ENSG00000002746:015	3
ENSG00000002746:016	4
ENSG00000002746:017	2
ENSG00000002746:018	0
ENSG00000002746:019	0
ENSG00000002746:020	1
ENSG00000002746:021	4
ENSG00000002746:022	4
ENSG00000002746:023	0
ENSG00000002746:024	0
ENSG00000002746:025	3
ENSG00000002746:026	11
ENSG00000002746:027	0
ENSG00000002746:028	1
ENSG00000002746:029	2
ENSG00000002746:030	2
ENSG00000002746:031	4
ENSG00000002746:032	0
ENSG00000002746:033	3
ENSG00000002746:034	1
ENSG00000002746:035	0
ENSG00000002746:036	2
ENSG00000002746:037	2
ENSG00000002746:038	2
ENSG00000002746:039	2
ENSG00000002746:040	3
ENSG00000002746:041	2
ENSG00000002746:042	2
ENSG00000002746:043	0
ENSG00000002746:044	1
ENSG00000002746:045	4
ENSG00000002746:046	4
ENSG00000002746:047	5
ENSG00000002746:048	4
ENSG00000002746:049	5
ENSG00000002746:050	4
ENSG00000002746:051	3
ENSG00000002822:001	0
ENSG00000002822:002	0
ENSG00000002822:003	4
ENSG00000002822:004	6
ENSG00000002822:005	102
ENSG00000002822:006	113
ENSG00000002822:007	0
ENSG00000002822:008	0
ENSG00000002822:009	0
ENSG00000002822:010	0
ENSG00000002822:011	137
ENSG00000002822:012	154
ENSG00000002822:013	0
ENSG00000002822:014	113
ENSG00000002822:015	83
ENSG00000002822:016	85
ENSG00000002822:017	6
ENSG00000002822:018	76
ENSG00000002822:019	55
ENSG00000002822:020	101
ENSG00000002822:021	109
ENSG00000002822:022	0
ENSG00000002822:023	0
ENSG00000002822:024	0
ENSG00000002822:025	0
ENSG00000002822:026	0
ENSG00000002822:027	100
ENSG00000002822:028	2
ENSG00000002822:029	0
ENSG00000002822:030	0
ENSG00000002822:031	0
ENSG00000002822:032	0
ENSG00000002822:033	68
ENSG00000002822:034	81
ENSG00000002822:035	79
ENSG00000002822:036	73
ENSG00000002822:037	79
ENSG00000002822:038	134
ENSG00000002822:039	126
ENSG00000002822:040	93
ENSG00000002822:041	148
ENSG00000002822:042	0
ENSG00000002822:043	168
ENSG00000002822:044	0
ENSG00000002822:045	106
ENSG00000002822:046	3
ENSG00000002822:047	125
ENSG00000002822:048	100
ENSG00000002822:049	65
ENSG00000002822:050	42
ENSG00000002822:051	29
ENSG00000002822:052	7
ENSG00000002822:053	0
ENSG00000002834:001	1529
ENSG00000002834:002	1619
ENSG00000002834:003	2170
ENSG00000002834:004	2558
ENSG00000002834:005	0
ENSG00000002834:006	2411
ENSG00000002834:007	0
ENSG00000002834:008	2263
ENSG00000002834:009	0
ENSG00000002834:010	2580
ENSG00000002834:011	37
ENSG00000002834:012	2288
ENSG00000002834:013	2445
ENSG00000002834:014	2575
ENSG00000002834:015	1741
ENSG00000002834:016	1650
ENSG00000002834:017	407
ENSG00000002834:018	6940
ENSG00000002834:019	3049
ENSG00000002834:020	7934
ENSG00000002834:021	4472
ENSG00000002834:022	13878
ENSG00000002834:023	81
ENSG00000002919:001	0
ENSG00000002919:002	0
ENSG00000002919:003	0
ENSG00000002919:004	0
ENSG00000002919:005	0
ENSG00000002919:006	0
ENSG00000002919:007	1
ENSG00000002919:008	23
ENSG00000002919:009	25
ENSG00000002919:010	0
ENSG00000002919:011	2
ENSG00000002919:012	0
ENSG00000002919:013	27
ENSG00000002919:014	1
ENSG00000002919:015	0
ENSG00000002919:016	0
ENSG00000002919:017	31
ENSG00000002919:018	0
ENSG00000002919:019	37
ENSG00000002919:020	0
ENSG00000002919:021	46
ENSG00000002919:022	34
ENSG00000002919:023	56
ENSG00000002919:024	26
ENSG00000002919:025	24
ENSG00000002919:026	29
ENSG00000002919:027	54
ENSG00000002919:028	80
ENSG00000002919:029	32
ENSG00000002919:030	17
ENSG00000002919:031	50
ENSG00000002919:032	63
ENSG00000002919:033	3
ENSG00000002933:001	0
ENSG00000002933:002	0
ENSG00000002933:003	0
ENSG00000002933:004	0
ENSG00000002933:005	0
ENSG00000002933:006	0
ENSG00000002933:007	0
ENSG00000002933:008	0
ENSG00000002933:009	0
ENSG00000002933:010	0
ENSG00000002933:011	0
ENSG00000002933:012	0
ENSG00000002933:013	0
ENSG00000002933:014	0
