exon	count
ENSG00000000003:001	826
ENSG00000000003:002	191
ENSG00000000003:003	156
ENSG00000000003:004	112
ENSG00000000003:005	126
ENSG00000000003:006	170
ENSG00000000003:007	162
ENSG00000000003:008	143
ENSG00000000003:009	195
ENSG00000000003:010	6
ENSG00000000003:011	110
ENSG00000000003:012	70
ENSG00000000003:013	15
ENSG00000000003:014	0
ENSG00000000003:015	0
ENSG00000000005:001	0
ENSG00000000005:002	0
ENSG00000000005:003	0
ENSG00000000005:004	0
ENSG00000000005:005	0
ENSG00000000005:006	0
ENSG00000000005:007	0
ENSG00000000005:008	0
ENSG00000000005:009	0
ENSG00000000419:001	33
ENSG00000000419:002	102
ENSG00000000419:003	113
ENSG00000000419:004	500
ENSG00000000419:005	385
ENSG00000000419:006	325
ENSG00000000419:007	2
ENSG00000000419:008	15
ENSG00000000419:009	73
ENSG00000000419:010	357
ENSG00000000419:011	264
ENSG00000000419:012	253
ENSG00000000419:013	315
ENSG00000000419:014	257
ENSG00000000419:015	343
ENSG00000000419:016	254
ENSG00000000419:017	43
ENSG00000000419:018	29
ENSG00000000419:019	1
ENSG00000000457:001	0
ENSG00000000457:002	0
ENSG00000000457:003	34
ENSG00000000457:004	75
ENSG00000000457:005	5
ENSG00000000457:006	33
ENSG00000000457:007	28
ENSG00000000457:008	42
ENSG00000000457:009	29
ENSG00000000457:010	27
ENSG00000000457:011	33
ENSG00000000457:012	0
ENSG00000000457:013	36
ENSG00000000457:014	36
ENSG00000000457:015	49
ENSG00000000457:016	65
ENSG00000000457:017	54
ENSG00000000457:018	12
ENSG00000000457:019	13
ENSG00000000457:020	2
ENSG00000000457:021	0
ENSG00000000460:001	5
ENSG00000000460:002	3
ENSG00000000460:003	3
ENSG00000000460:004	0
ENSG00000000460:005	1
ENSG00000000460:006	0
ENSG00000000460:007	0
ENSG00000000460:008	0
ENSG00000000460:009	3
ENSG00000000460:010	13
ENSG00000000460:011	11
ENSG00000000460:012	0
ENSG00000000460:013	6
ENSG00000000460:014	8
ENSG00000000460:015	25
ENSG00000000460:016	22
ENSG00000000460:017	34
ENSG00000000460:018	33
ENSG00000000460:019	6
ENSG00000000460:020	28
ENSG00000000460:021	3
ENSG00000000460:022	0
ENSG00000000460:023	24
ENSG00000000460:024	22
ENSG00000000460:025	21
ENSG00000000460:026	12
ENSG00000000460:027	12
ENSG00000000460:028	14
ENSG00000000460:029	0
ENSG00000000460:030	21
ENSG00000000460:031	22
ENSG00000000460:032	25
ENSG00000000460:033	0
ENSG00000000460:034	15
ENSG00000000460:035	11
ENSG00000000460:036	14
ENSG00000000460:037	27
ENSG00000000460:038	32
ENSG00000000460:039	33
ENSG00000000460:040	31
ENSG00000000460:041	24
ENSG00000000460:042	19
ENSG00000000460:043	8
ENSG00000000460:044	6
ENSG00000000460:045	11
ENSG00000000460:046	0
ENSG00000000460:047	7
ENSG00000000938:001	0
ENSG00000000938:002	0
ENSG00000000938:003	0
ENSG00000000938:004	0
ENSG00000000938:005	0
ENSG00000000938:006	0
ENSG00000000938:007	0
ENSG00000000938:008	0
ENSG00000000938:009	0
ENSG00000000938:010	0
ENSG00000000938:011	0
ENSG00000000938:012	0
ENSG00000000938:013	0
ENSG00000000938:014	0
ENSG00000000938:015	0
ENSG00000000938:016	0
ENSG00000000938:017	0
ENSG00000000938:018	0
ENSG00000000938:019	0
ENSG00000000938:020	0
ENSG00000000938:021	0
ENSG00000000938:022	0
ENSG00000000938:023	0
ENSG00000000938:024	0
ENSG00000000938:025	0
ENSG00000000938:026	0
ENSG00000000971:001	24
ENSG00000000971:002	39
ENSG00000000971:003	48
ENSG00000000971:004	0
ENSG00000000971:005	41
ENSG00000000971:006	35
ENSG00000000971:007	0
ENSG00000000971:008	50
ENSG00000000971:009	2
ENSG00000000971:010	50
ENSG00000000971:011	54
ENSG00000000971:012	57
ENSG00000000971:013	49
ENSG00000000971:014	6
ENSG00000000971:015	0
ENSG00000000971:016	39
ENSG00000000971:017	33
ENSG00000000971:018	40
ENSG00000000971:019	45
ENSG00000000971:020	48
ENSG00000000971:021	46
ENSG00000000971:022	28
ENSG00000000971:023	19
ENSG00000000971:024	23
ENSG00000000971:025	33
ENSG00000000971:026	0
ENSG00000000971:027	0
ENSG00000000971:028	43
ENSG00000000971:029	49
ENSG00000000971:030	32
ENSG00000000971:031	32
ENSG00000001036:001	573
ENSG00000001036:002	0
ENSG00000001036:003	1
ENSG00000001036:004	454
ENSG00000001036:005	279
ENSG00000001036:006	540
ENSG00000001036:007	520
ENSG00000001036:008	713
ENSG00000001036:009	507
ENSG00000001036:010	400
ENSG00000001036:011	52
ENSG00000001084:001	63
ENSG00000001084:002	49
ENSG00000001084:003	20
ENSG00000001084:004	21
ENSG00000001084:005	0
ENSG00000001084:006	1
ENSG00000001084:007	27
ENSG00000001084:008	1
ENSG00000001084:009	31
ENSG00000001084:010	1
ENSG00000001084:011	0
ENSG00000001084:012	30
ENSG00000001084:013	3
ENSG00000001084:014	27
ENSG00000001084:015	18
ENSG00000001084:016	28
ENSG00000001084:017	2
ENSG00000001084:018	20
ENSG00000001084:019	11
ENSG00000001084:020	18
ENSG00000001084:021	10
ENSG00000001084:022	1
ENSG00000001084:023	0
ENSG00000001084:024	6
ENSG00000001084:025	16
ENSG00000001084:026	13
